@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %17s "test_CRYRING.MADX"
@ ORIGIN           %18s "5.05.02 Windows 64"
@ DATE             %08s "12/03/21"
@ TIME             %08s "12.55.04"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "CRYF$START"        "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_0"           "DRIFT"                           1.96               1.96                  0                  0                  0               1.96                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DM1"               "RBEND"                    2.588150914       0.6281509143       0.5235987756       -0.160726627                  0        2.559839938      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_1"           "DRIFT"                          3.196       0.6078490857                  0      -0.4646511699                  0        3.086252688      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1"               "QUADRUPOLE"                     3.479              0.283                  0      -0.6061511699                  0        3.331337877      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_2"           "DRIFT"                           4.37              0.891                  0        -1.05165117                  0        4.102966512      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1"               "QUADRUPOLE"                     4.653              0.283                  0        -1.19315117                  0        4.348051701      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_3"           "DRIFT"                           4.72              0.067                  0        -1.22665117                  0        4.406075403      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "SD1"               "SEXTUPOLE"                       4.92                0.2                  0        -1.32665117                  0        4.579280484      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_4"           "DRIFT"                          5.544              0.624                  0        -1.63865117                  0        5.119680336      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2"               "QUADRUPOLE"                     5.827              0.283                  0        -1.78015117                  0        5.364765525      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_5"           "DRIFT"                          5.894              0.067                  0        -1.81365117                  0        5.422789227      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "SF1"               "SEXTUPOLE"                      6.094                0.2                  0        -1.91365117                  0        5.595994308      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_6"           "DRIFT"                          6.444               0.35                  0        -2.08865117                  0        5.899103199      -0.5235987756                  0                  0                  0          0          0                  0                  0 ""                 
