@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %13s "test_TSR.MADX"
@ ORIGIN           %18s "5.05.02 Windows 64"
@ DATE             %08s "29/03/21"
@ TIME             %08s "11.18.22"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "TSR$START"         "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_0"           "DRIFT"                            2.6                2.6                  0                  0                  0                2.6                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD11"              "QUADRUPOLE"                     2.925              0.325                  0                  0                  0              2.925                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_1"           "DRIFT"                           3.36              0.435                  0                  0                  0               3.36                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF11"              "QUADRUPOLE"                     3.685              0.325                  0                  0                  0              3.685                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_2"           "DRIFT"                    4.706792112        1.021792112                  0                  0                  0        4.706792112                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "AM11"              "SBEND"                           5.61       0.9032078879       0.7853981634      -0.3368272016                  0         5.51996491      -0.7853981634                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_3"           "DRIFT"                         6.7625             1.1525                  0       -1.151767767                  0        6.334905476      -0.7853981634                  0                  0                  0          0          0                  0                  0 ""                 
 "QF12"              "QUADRUPOLE"                    7.0875              0.325                  0       -1.381577471                  0         6.56471518      -0.7853981634                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_4"           "DRIFT"                           8.24             1.1525                  0       -2.196518036                  0        7.379655745      -0.7853981634                  0                  0                  0          0          0                  0                  0 ""                 
 "AM12"              "SBEND"                    9.143207888       0.9032078879       0.7853981634       -3.009690835                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_5"           "DRIFT"                         10.165        1.021792112                  0       -4.031482947                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "QF13"              "QUADRUPOLE"                     10.49              0.325                  0       -4.356482947                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_6"           "DRIFT"                         10.925              0.435                  0       -4.791482947                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "QD12"              "QUADRUPOLE"                     11.25              0.325                  0       -5.116482947                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_7"           "DRIFT"                          16.45                5.2                  0       -10.31648295                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "QD21"              "QUADRUPOLE"                    16.775              0.325                  0       -10.64148295                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_8"           "DRIFT"                          17.21              0.435                  0       -11.07648295                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "QF21"              "QUADRUPOLE"                    17.535              0.325                  0       -11.40148295                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_9"           "DRIFT"                    18.55679211        1.021792112                  0       -12.42327506                  0        7.716482947       -1.570796327                  0                  0                  0          0          0                  0                  0 ""                 
